customer_id,arrival_time_min,transaction_type,service_time_min,service_start_min,service_end_min,waiting_time_min,time_in_system_min
1,4.08,Quick,0.72,4.08,4.8,0,0.72
2,4.35,Quick,0.03,4.8,4.83,0.45,0.48
3,4.48,Quick,0.83,4.83,5.66,0.35,1.18
4,6.23,Quick,0.67,6.23,6.9,0,0.67
5,10.15,Quick,0.16,10.15,10.3,0,0.16
6,12.77,Standard,2.09,12.77,14.85,0,2.09
7,15.38,Quick,0.4,15.38,15.78,0,0.4
8,17.27,Quick,0.84,17.27,18.11,0,0.84
9,20.67,Complex,4.77,20.67,25.44,0,4.77
10,22.37,Quick,0.14,25.44,25.58,3.08,3.22
11,22.6,Quick,1.63,25.58,27.22,2.98,4.62
12,24.76,Quick,2.44,27.22,29.66,2.46,4.9
13,24.81,Quick,1.19,29.66,30.85,4.85,6.04
14,24.85,Quick,0.14,30.85,30.99,6,6.14
15,25.25,Quick,0.94,30.99,31.94,5.74,6.68
16,28,Standard,1.14,31.94,33.07,3.93,5.07
17,28.68,Quick,0.27,33.07,33.34,4.39,4.66
18,28.71,Quick,0.83,33.34,34.17,4.63,5.46
19,34.1,Standard,0.43,34.17,34.6,0.07,0.5
20,34.18,Quick,0.09,34.6,34.69,0.42,0.51
21,34.48,Complex,2.74,34.69,37.43,0.21,2.95
22,34.63,Quick,0.49,37.43,37.93,2.8,3.29
23,36.78,Quick,0.59,37.93,38.52,1.14,1.74
24,37.47,Quick,0.12,38.52,38.64,1.05,1.17
25,37.49,Quick,0.62,38.64,39.26,1.15,1.76
26,37.86,Quick,0.85,39.26,40.11,1.4,2.25
27,38.47,Quick,0.12,40.11,40.23,1.63,1.75
28,39.19,Standard,1.28,40.23,41.51,1.04,2.32
29,39.67,Standard,0.2,41.51,41.71,1.84,2.04
30,40.01,Quick,0.24,41.71,41.95,1.7,1.94
31,41.48,Quick,0.66,41.95,42.61,0.47,1.12
32,45.54,Quick,2.04,45.54,47.57,0,2.04
33,48.01,Quick,0.72,48.01,48.73,0,0.72
34,48.18,Standard,0.54,48.73,49.27,0.55,1.09
35,49.47,Quick,0.56,49.47,50.03,0,0.56
36,50.36,Quick,0.24,50.36,50.6,0,0.24
37,55.6,Quick,0.07,55.6,55.67,0,0.07
38,56.1,Quick,0.89,56.1,56.99,0,0.89
39,57.2,Standard,3.03,57.2,60.22,0,3.03
40,59.09,Quick,0.6,60.22,60.82,1.13,1.73
41,62.06,Quick,0.18,62.06,62.24,0,0.18
42,63.44,Quick,0.37,63.44,63.8,0,0.37
43,64.46,Quick,0.64,64.46,65.09,0,0.64
44,66.99,Quick,0.29,66.99,67.28,0,0.29
45,68.13,Standard,1.72,68.13,69.85,0,1.72
46,70.19,Quick,0.78,70.19,70.97,0,0.78
47,71.2,Quick,0.28,71.2,71.48,0,0.28
48,72.71,Quick,0.61,72.71,73.32,0,0.61
49,73.14,Quick,0.15,73.32,73.47,0.18,0.33
50,73.52,Complex,7.6,73.52,81.12,0,7.6
51,73.71,Quick,0.37,81.12,81.49,7.41,7.79
52,73.71,Quick,1.13,81.49,82.62,7.78,8.91
53,77.23,Quick,0.16,82.62,82.78,5.4,5.56
54,77.35,Quick,0.12,82.78,82.91,5.43,5.55
55,79.01,Standard,1.4,82.91,84.31,3.89,5.29
56,82.16,Quick,0.31,84.31,84.62,2.15,2.46
57,83.02,Quick,0.94,84.62,85.56,1.6,2.54
58,83.28,Quick,0.49,85.56,86.05,2.28,2.77
59,83.87,Quick,0.27,86.05,86.32,2.18,2.45
60,84.24,Quick,1.92,86.32,88.24,2.08,4
61,84.5,Quick,0.27,88.24,88.51,3.73,4.01
62,85.13,Standard,1.48,88.51,89.99,3.38,4.87
63,85.29,Quick,0.74,89.99,90.73,4.7,5.44
64,85.94,Quick,0.65,90.73,91.39,4.8,5.45
